Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-04,128.953,129.093,124.093,124.739,6466600,0.0,0.0
2018-06-05,124.302,125.018,122.296,124.285,4724500,0.0,0.0
2018-06-06,125.271,125.35,123.325,124.215,3783500,0.0,0.0
2018-06-07,124.285,124.503,123.36,124.076,3654200,0.0,0.0
2018-06-08,124.215,126.388,124.014,126.1,4804800,0.0,0.0
2018-06-11,125.934,128.43,125.725,127.487,3201600,0.0,0.0
2018-06-12,128.115,128.953,127.025,127.479,2962000,0.0,0.0
2018-06-13,127.47,128.526,125.629,125.89,3007500,0.0,0.0
2018-06-14,126.754,127.191,125.576,126.466,2832600,0.0,0.0
2018-06-15,126.876,129.424,126.17,128.281,7915700,0.0,0.0
2018-06-18,127.13,129.372,126.65,127.871,3222600,0.0,0.0
2018-06-19,126.283,126.58,124.259,124.608,4280800,0.0,0.0
2018-06-20,125.062,125.637,124.285,125.088,3767900,0.0,0.0
2018-06-21,125.28,125.629,123.596,124.861,3276600,0.0,0.0
2018-06-22,125.646,126.449,125.28,125.602,3066300,0.0,0.0
2018-06-25,124.931,125.498,122.357,123.229,3589900,0.0,0.0
2018-06-26,124.11,124.128,122.88,123.255,2663100,0.0,0.0
2018-06-27,123.718,125.009,121.947,121.99,3085400,0.0,0.0
2018-06-28,121.833,123.316,121.17,122.776,3265100,0.0,0.0
2018-06-29,123.474,125.053,123.447,123.622,3629400,0.0,0.0
2018-07-02,122.994,125.027,122.575,124.835,2569400,0.0,0.0
2018-07-03,125.315,125.472,122.941,123.229,1311000,0.0,0.0
2018-07-05,123.971,124.32,123.029,124.119,2889100,0.0,0.0
2018-07-06,124.503,125.707,124.014,124.826,3335800,0.0,0.0
2018-07-09,125.637,126.859,124.782,126.562,4379600,0.0,0.0
2018-07-10,126.519,127.068,124.713,125.742,3085000,0.0,0.0
2018-07-11,124.477,124.599,121.589,122.767,3994100,0.0,0.0
2018-07-12,123.788,124.067,121.947,122.392,2814500,0.0,0.0
2018-07-13,121.79,122.54,121.397,122.104,3852200,0.0,0.0
2018-07-16,123.011,123.727,119.983,121.187,5221300,0.0,0.0
2018-07-17,120.734,121.31,119.983,120.638,5107700,0.0,0.0
2018-07-18,122.139,123.892,121.694,123.247,5221600,0.0,0.0
2018-07-19,119.87,123.735,119.242,122.514,6186100,0.0,0.0
2018-07-20,121.798,124.014,121.58,123.386,4988700,0.0,0.0
2018-07-23,123.552,126.431,123.378,126.388,5786400,0.0,0.0
2018-07-24,127.348,127.889,123.901,124.241,4122600,0.0,0.0
2018-07-25,124.442,127.601,123.482,127.426,3861800,0.0,0.0
2018-07-26,127.33,130.044,127.042,128.892,5378200,0.0,0.0
2018-07-27,128.979,129.817,128.264,129.625,3021700,0.0,0.0
2018-07-30,129.163,131.3,129.163,129.59,2812000,0.0,0.0
2018-07-31,130.489,132.19,129.608,130.785,4396500,0.0,0.0
2018-08-01,130.244,131.23,129.163,129.459,2822600,0.0,0.0
2018-08-02,128.901,131.222,128.264,130.829,2513100,0.0,0.0
2018-08-03,130.716,130.995,129.782,130.689,1739000,0.0,0.0
2018-08-06,130.445,131.169,129.354,130.105,2959200,0.0,0.0
2018-08-07,130.689,131.143,130.044,130.777,2188400,0.0,0.0
2018-08-08,130.463,131.614,130.463,130.864,1907400,0.0,0.0
2018-08-09,130.672,131.222,129.59,129.799,1946300,0.0,0.0
2018-08-10,129.145,130.358,128.665,129.869,2308600,0.0,0.0
2018-08-13,129.869,130.724,129.066,129.686,2735100,0.0,0.0
2018-08-14,129.878,131.841,129.878,131.047,3304300,0.0,0.0
2018-08-15,129.416,130.55,128.718,129.991,4189000,0.0,0.0
2018-08-16,130.445,131.108,129.581,130.227,3630000,0.0,0.0
2018-08-17,130.07,131.03,129.826,130.41,2783100,0.0,0.0
2018-08-20,131.073,132.443,131.004,131.623,3275000,0.0,0.0
2018-08-21,131.571,132.6,131.422,132.243,3061300,0.0,0.0
2018-08-22,131.867,132.138,131.065,131.161,2395700,0.0,0.0
2018-08-23,131.257,131.527,130.506,131.091,2012700,0.0,0.0
2018-08-24,131.998,132.155,130.812,130.995,2806900,0.0,0.0
2018-08-27,132.059,133.534,131.902,133.307,3140000,0.0,0.0
2018-08-28,133.796,134.127,131.763,131.963,4010000,0.0,0.0
2018-08-29,132.086,132.626,131.431,131.597,2618500,0.0,0.0
2018-08-30,131.316,131.825,130.746,131.334,3122700,0.8,0.0
